GeneID	Length
Bra000281	786
Bra000282	819
Bra000283	1242
Bra000284	1443
Bra000285	801
Bra000286	2064
Bra000287	351
Bra000288	615
Bra000289	888
Bra000290	642
Bra000291	612
Bra000292	2724
Bra000293	2847
Bra000294	1437
Bra000295	1185
Bra000296	1650
Bra000297	1290
Bra000298	1284
Bra000299	219
Bra000300	1134
Bra000301	543
Bra000302	594
Bra000303	1143
Bra000304	966
Bra000305	861
Bra000306	564
Bra000307	2730
Bra000308	3075
Bra000309	279
Bra000310	849
Bra000311	807
Bra000312	843
Bra000313	366
Bra000314	780
Bra000315	837
Bra000316	330
Bra000317	1959
Bra000318	1788
Bra000319	1968
Bra000320	1980
Bra000321	1197
Bra000322	651
Bra000323	522
Bra000324	687
Bra000325	204
Bra000326	1188
Bra000327	1425
Bra000328	2688
Bra000329	1344
Bra000330	1350
Bra000331	1230
Bra000332	1158
Bra000333	3882
Bra000334	846
Bra000335	999
Bra000336	1806
Bra000337	624
Bra000338	1047
Bra000339	2334
Bra000340	414
Bra000341	591
Bra000342	1206
Bra000343	1089
Bra000344	1323
Bra000345	1179
Bra000346	1320
Bra000347	1251
Bra000348	2313
Bra000349	429
Bra000350	534
Bra000351	1335
Bra000352	729
Bra000353	1596
Bra000354	1431
Bra000355	627
Bra000356	363
Bra000357	1386
Bra000358	285
Bra000359	828
Bra000360	1071
Bra000361	600
Bra000362	633
Bra000363	774
Bra000364	588
Bra000365	2409
Bra000366	834
Bra000367	828
Bra000368	249
Bra000369	675
Bra000370	780
Bra000371	2217
Bra000372	933
Bra000373	741
Bra000374	1899
Bra000375	1824
Bra000376	369
Bra000377	396
Bra000378	678
Bra000379	705
Bra000380	486
Bra000381	189
Bra000382	1533
Bra000383	1245
Bra000384	1545
Bra000385	1308
Bra000386	1188
Bra000387	1356
Bra000388	933
Bra000389	171
Bra000390	1539
Bra000391	1539
Bra000392	774
Bra000393	642
Bra000394	1584
Bra000395	936
Bra000396	1095
Bra000397	300
Bra000398	255
Bra000399	1635
Bra000400	1317
Bra000401	717
Bra000402	609
Bra000403	741
Bra000404	681
Bra000405	1158
Bra000406	1089
Bra000407	981
Bra000408	618
Bra000409	6489
Bra000410	564
Bra000411	474
Bra000412	852
Bra000413	720
Bra000414	501
Bra000415	597
Bra000416	915
Bra000417	1653
Bra000418	696
Bra000419	222
Bra000420	2862
Bra000421	1830
Bra000422	405
Bra000423	846
Bra000424	1290
Bra000425	852
Bra000426	399
Bra000427	1479
Bra000428	420
Bra000429	1110
Bra000430	357
Bra000431	354
Bra000432	1158
Bra000433	1914
Bra000434	933
Bra000435	771
Bra000436	1215
Bra000437	651
Bra000438	1791
Bra000439	651
Bra000440	1239
Bra000441	822
Bra000442	2112
Bra000443	579
Bra000444	1590
Bra000445	2172
Bra000446	846
Bra000447	2022
Bra000448	1359
Bra000449	921
Bra000450	195
Bra000451	381
Bra000452	1029
Bra000453	1131
Bra000454	1089
Bra000455	819
Bra000456	2523
Bra000457	1317
Bra000458	489
Bra000459	270
Bra000460	648
Bra000461	2058
Bra000462	471
Bra000463	2124
Bra000464	1395
Bra000465	1218
Bra000466	1215
Bra000467	426
Bra000468	417
Bra000469	4215
Bra000470	696
Bra000471	897
Bra000472	438
Bra000473	3396
Bra000474	675
Bra000475	957
Bra000476	789
Bra000477	789
Bra000478	1443
Bra000479	423
Bra000480	1482
Bra000481	312
Bra000482	306
Bra000483	468
Bra000484	681
Bra000485	723
Bra000486	1029
Bra000487	1254
Bra000488	1128
Bra000489	1098
Bra000490	2868
Bra000491	696
Bra000492	1065
Bra000493	2535
Bra000494	1746
Bra000495	927
Bra000496	507
Bra000497	375
Bra000498	1608
Bra000499	1998
Bra000500	1500
Bra000501	345
Bra000502	828
Bra000503	1302
Bra000504	816
Bra000505	498
Bra000506	528
Bra000507	465
Bra000508	1173
Bra000509	690
Bra000510	672
Bra000511	1194
Bra000512	411
Bra000513	399
Bra000514	1737
Bra000515	666
Bra000516	405
Bra000517	1827
Bra000518	543
Bra000519	687
Bra000520	1572
Bra000521	450
Bra000522	3294
Bra000523	693
Bra000524	1833
Bra000525	612
Bra000526	771
Bra000527	504
Bra000528	1716
Bra000529	1320
Bra000530	225
Bra000531	1308
Bra000532	624
Bra000533	738
Bra000534	1314
Bra000535	3696
Bra000536	1137
Bra000537	915
Bra000538	495
Bra000539	846
Bra000540	1641
Bra000541	1812
Bra000542	1347
Bra000543	1542
Bra000544	915
Bra000545	1380
Bra000546	1227
Bra000547	1626
Bra000548	1320
Bra000549	2298
Bra000550	1848
Bra000551	768
Bra000552	2532
Bra000553	1389
Bra000554	1623
Bra000555	2871
Bra000556	1215
Bra000557	1047
Bra000558	1596
Bra000559	1179
Bra000560	1167
Bra000561	4368
Bra000562	624
Bra000563	2883
Bra000564	3048
Bra000565	2010
Bra000566	843
Bra000567	714
Bra000568	1788
Bra000569	498
Bra000570	1056
Bra000571	813
Bra000572	1500
Bra000573	1536
Bra000574	237
Bra000575	1557
Bra000576	768
Bra000577	1929
Bra000578	1218
Bra000579	354
Bra000580	243
Bra000581	1359
Bra000582	822
Bra000583	1548
Bra000584	1452
Bra000585	1194
Bra000586	1944
Bra000587	1632
Bra000588	858
Bra000589	921
Bra000590	261
Bra000591	1215
Bra000592	2481
Bra000593	792
Bra000594	1866
Bra000595	1401
Bra000596	2328
Bra000597	1149
Bra000598	2757
Bra000599	798
Bra000600	3279
Bra000601	681
Bra000602	1410
Bra000603	1368
Bra000604	1824
Bra000605	1155
Bra000606	1227
Bra000607	1191
Bra000608	216
Bra000609	474
Bra000610	618
Bra000611	1170
Bra000612	1056
Bra000613	621
Bra000614	804
Bra000615	1086
Bra000616	2157
Bra000617	2862
Bra000618	2991
Bra000619	1698
Bra000620	1209
Bra000621	1776
Bra000622	1437
Bra000623	738
Bra000624	216
Bra000625	837
Bra000626	1026
Bra000627	210
Bra000628	1080
Bra000629	489
Bra000630	789
Bra000631	786
Bra000632	708
Bra000633	1179
Bra000634	2406
Bra000635	2079
Bra000636	714
Bra000637	1395
Bra000638	1164
Bra000639	2352
Bra000640	963
Bra000641	3126
Bra000642	399
Bra000643	339
Bra000644	2061
Bra000645	1212
Bra000646	900
Bra000647	1626
Bra000648	792
Bra000649	1440
Bra000650	1704
Bra000651	222
Bra000652	552
Bra000653	1125
Bra000654	480
Bra000655	930
Bra000656	1671
Bra000657	3087
Bra000658	1083
Bra000659	1026
Bra000660	945
Bra000661	1194
Bra000662	957
Bra000663	1047
Bra000664	1089
Bra000665	1104
Bra000666	273
Bra000667	2163
Bra000668	999
Bra000669	441
Bra000670	381
Bra000671	702
Bra000672	1038
Bra000673	1020
Bra000674	2250
Bra000675	933
Bra000676	369
Bra000677	1059
Bra000678	1179
Bra000679	1347
Bra000680	675
Bra000681	1584
Bra000682	297
Bra000683	1299
Bra000684	1503
Bra000685	633
Bra000686	2325
Bra000687	705
Bra000688	1089
Bra000689	621
Bra000690	1863
Bra000691	1791
Bra000692	459
Bra000693	1005
Bra000694	573
Bra000695	411
Bra000696	696
Bra000697	1344
Bra000698	1155
Bra000699	339
Bra000700	1038
Bra000701	774
Bra000702	1614
Bra000703	594
Bra000704	972
Bra000705	417
Bra000706	315
Bra000707	1758
Bra000708	843
Bra000709	1026
Bra000710	906
Bra000711	627
Bra000712	1056
Bra000713	1053
Bra000714	2724
Bra000715	1020
Bra000716	933
Bra000717	1299
Bra000718	1467
Bra000719	3507
Bra000720	1071
Bra000721	1440
Bra000722	255
Bra000723	459
Bra000724	1827
Bra000725	537
Bra000726	228
Bra000727	1530
Bra000728	492
Bra000729	3555
Bra000730	639
Bra000731	894
Bra000732	1083
Bra000733	3618
Bra000734	1119
Bra000735	1545
Bra000736	822
Bra000737	1296
Bra000738	3078
Bra000739	804
Bra000740	966
Bra000741	1077
Bra000742	927
Bra000743	2949
Bra000744	1977
Bra000745	1353
Bra000746	1938
Bra000747	1674
Bra000748	912
Bra000749	951
Bra000750	1110
Bra000751	993
Bra000752	1581
Bra000753	2385
Bra000754	1077
Bra000755	825
Bra000756	1413
Bra000757	963
Bra000758	3756
Bra000759	3624
Bra000760	1227
Bra000761	2037
Bra000762	1182
Bra000763	1158
Bra000764	669
Bra000765	207
Bra000766	1173
Bra000767	1068
Bra000768	1515
Bra000769	1551
Bra000770	978
Bra000772	498
Bra000773	1758
Bra000774	2085
Bra000775	501
Bra000776	654
Bra000777	402
Bra000778	402
Bra000779	2142
Bra000780	1074
Bra000781	387
Bra000782	1623
Bra000783	870
Bra000784	609
Bra000785	984
Bra000786	564
Bra000787	936
Bra000788	2805
Bra000789	2307
Bra000790	387
Bra000791	2871
Bra000792	528
Bra000793	1560
Bra000794	1488
Bra000795	1194
Bra000796	1827
Bra000797	1827
Bra000798	828
Bra000799	1971
Bra000800	1950
Bra000801	441
Bra000802	1125
Bra000803	2964
Bra000804	348
Bra000805	1365
Bra000806	429
Bra000807	1794
Bra000808	2145
Bra000809	2670
Bra000810	1431
Bra000811	537
Bra000812	216
Bra000813	279
Bra000814	1473
Bra000815	405
Bra000816	978
Bra000817	543
Bra000818	960
Bra000819	762
Bra000820	2196
Bra000821	543
Bra000822	1134
Bra000823	1335
Bra000824	1725
Bra000825	921
Bra000826	1146
Bra000827	2289
Bra000828	687
Bra000829	276
Bra000830	501
Bra000831	564
Bra000832	1374
Bra000833	207
Bra000834	822
Bra000835	996
Bra000836	465
Bra000837	696
Bra000838	1365
Bra000839	486
Bra000840	873
Bra000841	273
Bra000842	1761
Bra000843	1308
Bra000844	1275
Bra000845	1266
Bra000846	2619
Bra000847	960
Bra000848	867
Bra000849	1473
Bra000850	597
Bra000851	210
Bra000852	252
Bra000853	1362
Bra000854	1230
Bra000855	2310
Bra000856	1047
Bra000857	1329
Bra000858	897
Bra000859	897
Bra000860	348
Bra000861	525
Bra000862	987
Bra000863	1113
Bra000864	2697
Bra000865	1512
Bra000866	1080
Bra000867	396
Bra000868	2496
Bra000869	10728
Bra000870	1143
Bra000871	387
Bra000872	930
Bra000873	768
Bra000874	2217
Bra000875	642
Bra000876	642
Bra000877	1392
Bra000878	3759
Bra000879	633
Bra000880	2040
Bra000881	2028
Bra000882	939
Bra000883	1902
Bra000884	285
Bra000885	678
Bra000886	549
Bra000887	570
Bra000888	1380
Bra000889	1185
Bra000890	540
Bra000891	1557
Bra000892	1089
Bra000893	1620
Bra000894	3000
Bra000895	582
Bra000896	4014
Bra000897	2157
Bra000898	1542
Bra000899	417
Bra000900	2127
Bra000901	771
Bra000902	1506
Bra000903	1563
Bra000904	1332
Bra000905	693
Bra000906	1026
Bra000907	933
Bra000908	591
Bra000909	345
Bra000910	417
Bra000911	1461
Bra000912	1350
Bra000913	1953
Bra000914	1182
Bra000915	2949
Bra000916	447
Bra000917	318
Bra000918	726
Bra000919	858
Bra000920	768
Bra000921	381
Bra000922	234
Bra000923	1080
Bra000924	240
Bra000925	1032
Bra000926	984
Bra000927	690
Bra000928	2256
Bra000929	342
Bra000930	1578
Bra000931	1164
Bra000932	876
Bra000933	1587
Bra000934	408
Bra000935	1731
Bra000936	2787
Bra000937	2118
Bra000938	582
Bra000939	1272
Bra000940	1506
Bra000941	231
Bra000942	966
Bra000943	1803
Bra000944	1062
Bra000945	768
Bra000946	375
Bra000947	495
Bra000948	1434
Bra000949	3072
Bra000950	1083
Bra000951	1374
Bra000952	2745
Bra000953	795
Bra000954	1275
Bra000955	1122
Bra000956	1218
Bra000957	939
Bra000958	1377
Bra000959	1794
Bra000960	354
Bra000961	1407
Bra000962	1476
Bra000963	2919
Bra000964	399
Bra000965	1542
Bra000966	261
Bra000967	1863
Bra000968	414
Bra000969	1383
Bra000970	1965
Bra000971	1437
Bra000972	6660
Bra000973	2373
Bra000974	867
Bra000975	294
Bra000976	1605
Bra000977	825
Bra000978	711
Bra000979	558
Bra000980	414
Bra000981	1392
Bra000982	249
Bra000983	1434
Bra000984	645
Bra000985	426
Bra000986	792
Bra000987	2622
Bra000988	807
Bra000989	594
Bra000990	2544
Bra000991	378
Bra000992	273
Bra000993	2424
Bra000994	1062
Bra000995	411
Bra000996	2499
Bra000997	1377
Bra000998	1083
Bra000999	2502
Bra001000	2112
Bra001001	1929
Bra001002	582
Bra001003	1146
Bra001004	1911
Bra001005	627
Bra001006	1065
Bra001007	267
Bra001008	2454
Bra001009	861
Bra001010	831
Bra001011	1416
Bra001012	1317
Bra001013	387
Bra001014	600
Bra001015	381
Bra001016	441
Bra001017	759
Bra001018	351
Bra001019	162
Bra001020	1638
Bra001021	2142
Bra001022	1506
Bra001023	3195
Bra001024	357
Bra001025	1593
Bra001026	957
Bra001027	1428
Bra001028	432
Bra001029	1059
Bra001030	1146
Bra001031	822
Bra001032	1617
Bra001033	1137
Bra001034	2574
Bra001035	612
Bra001036	1248
Bra001037	1074
Bra001038	1545
Bra001039	1863
Bra001040	1620
Bra001042	1032
Bra001043	687
Bra001044	1479
Bra001045	1050
Bra001046	1335
Bra001047	1959
Bra001048	798
Bra001049	786
Bra001050	1206
Bra001051	492
Bra001052	576
Bra001053	849
Bra001054	660
Bra001055	645
Bra001056	906
Bra001057	1191
Bra001058	1692
Bra001059	1566
Bra001060	1434
Bra001061	2577
Bra001062	501
Bra001063	846
Bra001064	606
Bra001065	1707
Bra001066	1077
Bra001067	1107
Bra001068	2289
Bra001069	903
Bra001070	984
Bra001071	1362
Bra001072	1128
Bra001073	354
Bra001074	393
Bra001075	459
Bra001076	357
Bra001077	252
Bra001078	1512
Bra001079	735
Bra001080	972
Bra001081	1548
Bra001082	1242
Bra001083	1818
Bra001084	972
Bra001085	2766
Bra001086	501
Bra001087	363
Bra001088	288
Bra001089	2391
Bra001090	2370
Bra001091	1776
Bra001092	912
Bra001093	2442
Bra001094	1647
Bra001095	1479
Bra001096	1932
Bra001097	702
Bra001098	441
Bra001099	432
Bra001100	1101
Bra001101	291
Bra001102	522
Bra001103	1194
Bra001104	2271
Bra001105	981
Bra001106	2160
Bra001107	249
Bra001108	567
Bra001109	573
Bra001110	495
Bra001111	1173
Bra001112	1731
Bra001113	1386
Bra001114	1518
Bra001115	792
Bra001116	1467
Bra001117	960
Bra001118	1338
Bra001119	579
Bra001120	1371
Bra001121	426
Bra001122	423
Bra001123	645
Bra001124	1758
Bra001125	2037
Bra001126	909
Bra001127	789
Bra001128	1566
Bra001129	1986
Bra001130	417
Bra001131	1203
Bra001132	753
Bra001133	906
Bra001134	408
Bra001135	306
Bra001136	2145
Bra001137	966
Bra001138	1125
Bra001139	1047
Bra001140	1569
Bra001141	504
Bra001142	1170
Bra001143	849
Bra001144	969
Bra001145	573
Bra001146	1866
Bra001147	2052
Bra001148	2472
Bra001149	357
Bra001150	1299
Bra001151	927
Bra001152	1275
Bra001153	1248
Bra001154	375
Bra001155	957
Bra001156	564
Bra001157	1332
Bra001158	783
Bra001159	1437
Bra001160	3135
Bra001161	3174
Bra001162	4080
Bra001163	7773
Bra001164	846
Bra001165	693
Bra001166	543
Bra001167	267
Bra001168	567
Bra001169	1233
Bra001170	273
Bra001171	168
Bra001172	1254
Bra001173	657
Bra001174	1668
Bra001175	4095
Bra001176	1527
Bra001177	2091
Bra001178	837
Bra001179	654
Bra001180	279
Bra001181	351
Bra001182	1371
Bra001183	624
Bra001184	1419
Bra001185	1761
Bra001186	1212
Bra001187	798
Bra001188	1041
Bra001189	1065
Bra001190	4923
Bra001191	498
Bra001192	420
Bra001193	1311
Bra001194	609
Bra001195	1794
Bra001196	1353
Bra001197	360
Bra001198	2205
Bra001199	837
Bra001200	3159
Bra001201	1197
Bra001202	915
Bra001203	7209
Bra001204	1623
Bra001205	897
Bra001206	837
Bra001207	990
Bra001208	3804
Bra001209	540
Bra001210	2781
Bra001211	1047
Bra001212	2742
Bra001213	582
Bra001214	594
Bra001215	1350
Bra001216	681
Bra001217	471
Bra001218	426
Bra001219	1734
Bra001220	1485
Bra001221	2178
Bra001222	873
Bra001223	3762
Bra001224	381
Bra001225	2790
Bra001226	360
Bra001227	969
Bra001228	1089
Bra001229	1899
Bra001230	582
Bra001231	645
Bra001232	1755
Bra001233	1329
Bra001234	1287
Bra001235	2820
Bra001236	666
Bra001237	1299
Bra001238	795
Bra001239	5724
Bra001240	594
Bra001241	633
Bra001242	867
Bra001243	840
Bra001244	1344
Bra001245	1701
Bra001246	2100
Bra001247	1371
Bra001248	276
Bra001249	768
Bra001250	1872
Bra001251	297
Bra001252	285
Bra001253	510
Bra001254	462
Bra001255	780
Bra001256	1146
Bra001257	915
Bra001258	768
Bra001259	726
Bra001260	507
Bra001261	396
Bra001262	1140
Bra001263	726
Bra001264	1056
Bra001265	978
Bra001266	711
Bra001267	1416
Bra001268	1188
Bra001269	1194
Bra001270	1266
Bra001271	513
Bra001272	744
Bra001273	1230
Bra001274	639
Bra001275	1203
Bra001276	216
Bra001277	1155
Bra001278	2160
Bra001279	1314
Bra001280	3912
Bra001281	1128
Bra001282	1539
Bra001283	1590
Bra001284	1023
Bra001285	864
Bra001286	4455
Bra001287	3654
Bra001288	1173
Bra001289	1812
Bra001290	1251
Bra001291	456
Bra001292	543
Bra001293	1188
Bra001294	516
Bra001295	615
Bra001296	1470
Bra001297	2430
Bra001298	555
Bra001299	1422
Bra001300	429
Bra001301	1017
Bra001302	1221
Bra001303	579
Bra001304	1830
Bra001305	1863
Bra001306	372
Bra001307	1245
Bra001308	2055
Bra001309	246
Bra001310	987
Bra001311	1419
Bra001312	1836
Bra001313	2163
Bra001314	1077
Bra001315	1587
Bra001316	861
Bra001317	1335
Bra001318	516
Bra001319	336
Bra001320	1575
Bra001321	432
Bra001322	1479
Bra001323	1008
Bra001324	972
Bra001325	972
Bra001326	1980
Bra001327	2064
Bra001328	501
Bra001329	1584
Bra001330	2721
Bra001331	1209
Bra001332	1041
Bra001333	1173
Bra001334	2817
Bra001335	951
Bra001336	1530
Bra001337	1005
Bra001338	1095
Bra001339	564
Bra001340	297
Bra001341	1377
Bra001342	4077
Bra001343	801
Bra001344	2829
Bra001345	342
Bra001346	495
Bra001347	447
Bra001348	1626
Bra001349	1752
Bra001350	1791
Bra001351	198
Bra001352	924
Bra001353	600
Bra001354	939
Bra001355	2961
Bra001356	3222
Bra001357	2763
Bra001358	669
Bra001359	1536
Bra001360	1206
Bra001361	324
Bra001362	1173
Bra001363	537
Bra001364	429
Bra001365	1296
Bra001366	1266
Bra001367	372
Bra001368	1932
Bra001369	993
Bra001370	810
Bra001371	705
Bra001372	4002
Bra001373	2913
Bra001374	2691
Bra001375	1680
Bra001376	1650
Bra001377	408
Bra001378	297
Bra001379	951
Bra001380	654
Bra001381	591
Bra001382	1140
Bra001383	1248
Bra001384	372
Bra001385	207
Bra001386	1155
Bra001387	813
Bra001388	2736
Bra001389	1533
Bra001390	477
Bra001391	4359
Bra001392	1290
Bra001393	753
Bra001394	282
Bra001395	1464
Bra001396	387
Bra001397	447
Bra001398	465
Bra001399	1497
Bra001400	2250
Bra001401	885
Bra001402	1503
Bra001403	240
Bra001404	1932
Bra001405	1152
Bra001406	453
Bra001407	417
Bra001408	2703
Bra001409	615
Bra001410	1278
Bra001411	711
Bra001412	1044
Bra001413	360
Bra001414	942
Bra001415	924
Bra001416	2148
Bra001417	1569
Bra001418	621
Bra001419	585
Bra001420	459
Bra001421	738
Bra001422	1002
Bra001423	1683
Bra001424	1407
Bra001425	1281
Bra001426	3339
Bra001427	597
Bra001428	624
Bra001429	1152
Bra001430	1974
Bra001431	4026
Bra001432	1038
Bra001433	855
Bra001434	867
Bra001435	1743
Bra001436	708
Bra001437	1005
Bra001438	1083
Bra001439	666
Bra001440	1269
Bra001441	279
Bra001443	996
Bra001444	402
Bra001445	900
Bra001446	3084
Bra001447	903
Bra001448	570
Bra001449	798
Bra001450	570
Bra001451	1155
Bra001452	189
Bra001453	729
Bra001454	1416
Bra001455	633
Bra001456	1719
Bra001457	1767
Bra001458	3354
Bra001459	615
Bra001460	1119
Bra001461	480
Bra001462	1887
Bra001463	711
Bra001464	792
Bra001465	453
Bra001466	1329
Bra001467	1050
Bra001468	750
Bra001469	1125
Bra001470	1455
Bra001471	897
Bra001472	702
Bra001473	381
Bra001474	1518
Bra001475	732
Bra001476	1074
Bra001477	1023
Bra001478	1023
Bra001479	429
Bra001480	834
Bra001481	4812
Bra001482	1752
Bra001483	228
Bra001484	942
Bra001485	1992
Bra001486	1194
Bra001487	1998
Bra001488	4482
Bra001489	573
Bra001490	4440
Bra001491	483
Bra001492	1203
Bra001493	243
Bra001494	351
Bra001495	876
Bra001496	1479
Bra001497	477
Bra001498	2103
Bra001499	1494
Bra001500	5421
Bra001501	1356
Bra001502	1329
Bra001503	1668
Bra001504	1656
Bra001505	939
Bra001506	1920
Bra001507	1773
Bra001508	252
Bra001509	1062
Bra001510	4065
Bra001511	282
Bra001512	1590
Bra001513	1086
Bra001514	1434
Bra001515	1812
Bra001516	561
Bra001517	1275
Bra001518	2052
Bra001519	645
Bra001520	1821
Bra001521	1926
Bra001522	1074
Bra001523	1539
Bra001524	1719
Bra001525	2418
Bra001526	444
Bra001527	183
Bra001528	309
Bra001529	369
Bra001530	1251
Bra001531	1401
Bra001532	1092
Bra001533	3090
Bra001534	387
Bra001535	870
Bra001536	1086
Bra001537	3474
Bra001538	672
Bra001539	702
Bra001540	600
Bra001541	1059
Bra001542	2304
Bra001543	921
Bra001544	627
Bra001545	5304
Bra001546	1770
Bra001547	1776
Bra001548	360
Bra001549	228
Bra001550	1104
Bra001551	1077
Bra001552	1191
Bra001553	270
Bra001554	981
Bra001555	1827
Bra001556	1077
Bra001557	1815
Bra001558	366
Bra001559	453
Bra001560	1527
Bra001561	1107
Bra001562	1539
Bra001563	1368
Bra001564	963
Bra001565	2529
Bra001566	2958
Bra001567	3048
Bra001568	297
Bra001569	1062
Bra001570	1482
Bra001571	1320
Bra001572	1383
Bra001573	1821
Bra001574	327
Bra001575	2904
Bra001576	1029
Bra001577	1179
Bra001578	1116
Bra001579	1224
Bra001580	678
Bra001581	657
Bra001582	1314
Bra001583	1053
Bra001584	5682
Bra001585	1689
Bra001586	930
Bra001587	606
Bra001588	636
Bra001589	861
Bra001590	1779
Bra001591	1620
Bra001592	492
Bra001593	756
Bra001594	2442
Bra001595	951
Bra001596	888
Bra001597	1053
Bra001598	585
Bra001599	1323
Bra001600	336
Bra001601	381
Bra001602	807
Bra001603	615
Bra001604	492
Bra001605	1359
Bra001606	642
Bra001607	843
Bra001608	810
Bra001609	1122
Bra001610	1062
Bra001611	1086
Bra001612	1092
Bra001613	3372
Bra001614	1038
Bra001615	570
Bra001616	2187
Bra001617	1962
Bra001618	2172
Bra001619	477
Bra001620	363
Bra001621	462
Bra001622	447
Bra001623	429
Bra001624	822
Bra001625	636
Bra001626	750
Bra001627	534
Bra001628	615
Bra001629	411
Bra001630	1947
Bra001631	894
Bra001632	735
Bra001633	1122
Bra001634	819
Bra001635	1218
Bra001636	402
Bra001637	507
Bra001638	696
Bra001639	837
Bra001640	738
Bra001641	447
Bra001642	1356
Bra001643	1953
Bra001644	441
